"path","name","bytes","bucket","why"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png","LSE_A13_Cover_Crop_Function_Root_Architecture_Plate_Ch25.png","2857119","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A14_Insectary_Pollinator_Guild_Ch28.png","LSE_A14_Insectary_Pollinator_Guild_Ch28.png","3060816","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A15_Crop_Family_Rotation_Map_Ch29.png","LSE_A15_Crop_Family_Rotation_Map_Ch29.png","2720441","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.png","LSE_A17_Hoop_House_Season_Extension_Setup_Ch36.png","3157944","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A18_IPM_Pyramid_Scouting_Ch39.png","LSE_A18_IPM_Pyramid_Scouting_Ch39.png","2540917","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_A20_Soil_Microscopy_Workflow_Ch44.png","LSE_A20_Soil_Microscopy_Workflow_Ch44.png","2288526","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.png","LSE_B02_Predator_Driven_Nitrogen_Mineralization_Loop_Ch05.png","2508766","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png","LSE_B03_Nematode_Mouthpart_Comparison_Ch05_44.png","2593693","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.png","LSE_B05_Mycorrhizal_Inoculation_Failure_Modes_Ch06_17.png","2605193","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B06_Fungal_Bacterial_Succession_Strip_Ch07.png","LSE_B06_Fungal_Bacterial_Succession_Strip_Ch07.png","2994281","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.png","LSE_B07_Five_Soil_Health_Principles_Wheel_Ch08.png","3019738","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B08_Thermal_Compost_Process_Ch09_Ch13.png","LSE_B08_Thermal_Compost_Process_Ch09_Ch13.png","2454515","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B09_Compost_Extract_vs_AACT_Ch09_19.png","LSE_B09_Compost_Extract_vs_AACT_Ch09_19.png","1950853","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.png","LSE_B10_Coots_Mix_1_1_1_Triangle_Ch10_23.png","2591892","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.png","LSE_B11_Plant_Health_Pyramid_Evidence_Boundary_Ch11_Ch41.png","2846799","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png","LSE_B12_KNF_IMO_1_4_Workflow_Ch12_Ch19.png","2498872","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B13_JADAM_Safety_Plate_Ch12_19_41.png","LSE_B13_JADAM_Safety_Plate_Ch12_19_41.png","2208574","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png","LSE_B15_Lime_Gypsum_Sulfur_Decision_Tree_Ch14.png","1797955","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.png","LSE_B16_Trace_Element_Deficiency_vs_Toxicity_Ch14.png","2453667","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.png","LSE_B17_Microbial_Inoculant_Viability_Root_Contact_Ch17.png","2368707","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B18_Raw_vs_Charged_Biochar_Ch18.png","LSE_B18_Raw_vs_Charged_Biochar_Ch18.png","2693483","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","LSE_B21_Soil_Recipe_Matrix_By_Crop_Type_Ch23.png","1914093","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B22_Top_Dress_Layer_Cake_Ch24.png","LSE_B22_Top_Dress_Layer_Cake_Ch24.png","2701647","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","LSE_B23_Cover_Crop_Selector_North_Texas_Ch25.png","2236218","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B24_Companion_Planting_Mechanism_vs_Folklore_Ch26.png","LSE_B24_Companion_Planting_Mechanism_vs_Folklore_Ch26.png","2647561","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B25_Seven_Layer_Guild_Design_Texas_Peach_Ch27.png","LSE_B25_Seven_Layer_Guild_Design_Texas_Peach_Ch27.png","2747902","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B26_Flower_Architecture_For_Beneficial_Insects_Ch28_40.png","LSE_B26_Flower_Architecture_For_Beneficial_Insects_Ch28_40.png","2463732","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B28_North_Texas_Bed_Pivot_Calendar_Ch25_Ch29_Ch30.png","LSE_B28_North_Texas_Bed_Pivot_Calendar_Ch25_Ch29_Ch30.png","2944738","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B29_Herb_Grouping_Matrix_Ch31.png","LSE_B29_Herb_Grouping_Matrix_Ch31.png","1825974","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B30_Irrigation_Systems_Compared_Ch34.png","LSE_B30_Irrigation_Systems_Compared_Ch34.png","2536034","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png","LSE_B32_Tool_Sanitation_Workflow_Ch38_49.png","2305201","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B33_Beneficial_Insect_Lifecycle_Plate_Ch40.png","LSE_B33_Beneficial_Insect_Lifecycle_Plate_Ch40.png","2783553","jpeg","illustration"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_B36_Yellowing_Leaves_Decision_Tree_AppB.png","LSE_B36_Yellowing_Leaves_Decision_Tree_AppB.png","2946770","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C01_Annual_Soil_Building_Calendar_Ch49_AppC.png","LSE_C01_Annual_Soil_Building_Calendar_Ch49_AppC.png","2303493","png256","text/line art"
"C:\Users\dstor\lse-repo\assets\lse_figures\LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png","LSE_C02_Seed_Starting_Hardening_Off_Workflow_Ch49.png","2316763","png256","text/line art"
